what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1331817087703
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1331817087719
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1331817087984
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1331817087984
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1331817087984
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1331817087984
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1331817087984
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1331817088000
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1331817088000
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1331817088000
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1331817088000
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1331817088015
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1331817088015
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1331817088015
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1331817088015
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1331817088015
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1331817088062
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1331817088062
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1331817088109
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1331817088140
os,sysinfo,,,"win32",1331817088140
arch,sysinfo,,,"x86_64",1331817088140
ws,sysinfo,,,"win32",1331817088140
locale,sysinfo,,,"en_US",1331817088140
processors,sysinfo,,,"4",1331817088140
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331817088140
java.runtime.version,sysinfo,,,"1.7.0-b147",1331817088140
java.specification.name,sysinfo,,,"Java Platform API Specification",1331817088140
java.specification.vendor,sysinfo,,,"Oracle Corporation",1331817088140
java.specification.version,sysinfo,,,"1.7",1331817088140
java.vendor,sysinfo,,,"Oracle Corporation",1331817088140
java.version,sysinfo,,,"1.7.0",1331817088140
java.vm.info,sysinfo,,,"mixed mode",1331817088140
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331817088140
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331817088140
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1331817088140
java.vm.specification.version,sysinfo,,,"1.7",1331817088140
java.vm.vendor,sysinfo,,,"Oracle Corporation",1331817088140
java.vm.version,sysinfo,,,"21.0-b17",1331817088140
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1331817088249
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1331817088717
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1331817089294
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1331817090901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331817090964
